query,organization
#Delhi/#SOS Need 2 units blood and 1 unit platelet any group At AIIMS April 11 Call 9713022140.,DelhiPolice
SCR Railway Week 2016 Congratulations to the Awardee.,RailMinIndia
sir for u siddeshwar exp so imp like for Glb 22133/34 ypr-sur exp is imp Gulbarga pasx terminate at Gr.,RailMinIndia
I have lost my mobile phone Samsung E -7 IMEI No. 358185066502011 and 358186066502019 in karmpura terminal Delhi 110015. Please.,DelhiPolice
So many rules are broken outside Sanskriti School! Yet act as a mere suspectator or facilitator! Incorrect parking turns 1/2.,dtptraffic
pls send help. Traffic jam St Marks School Meera Bagh.,dtptraffic
HC Raj Singh of was arrested on Saturday for extortion attempt his two colleagues are evading arrest.,DelhiPolice
Arrested HC Raj Singh is posted in anti-auto theft squad of southwest district police.,DelhiPolice
hope charges r framed for implanting driver in plc f accused.,dtptraffic
pnr 2862797793 no charging point on s11 12 dirty bathroom insects in berth heavy jerk through out journey.,RailMinIndia
2 suspect of inside rajendra nagar metro station loot. Try 2 indentify them and call the delhi police.,DelhiPolice
Delhi is the Traffic Jam Capital. Thanks to Inefficiency and Incompetence.,dtptraffic
Please rope in to supply water to drought affected areas in the country.,RailMinIndia
PAN migration request of large no. of tax payers are pending with result into unsettled demand rectification.,IncomeTaxIndia
People can now apply for a restaurant bar pub or arms license online courtesy Read:.,DelhiPolice
crime increasing in Delhi ?,DelhiPolice
Calling passengers nd asking suggestions fr improvement of cleaning. grt work u !,RailMinIndia
10. 30 am towards Gandhi Nagar 11. 04. 2016 driving without helmet Pillion.,dtptraffic
crossing stop line and Pillion without helmet 11. 04. 2016 at Gandhi Nagar red light 10. 30am.,dtptraffic
Driving without helmet 11. 04. 2016 at 10. 30 am Gandhi Nagar.,dtptraffic
Driving without helmet 11. 04. 2016 at Gandhi Nagar 10. 30 am.,dtptraffic
police collecting money from people. plz verify authority of video and identity of him.,RailMinIndia
Yusuf Sarai paralysed with traffic jam. Need better traffic police managing the situation. Delhi.,dtptraffic
Now this time it was the turn of Dibrugarh Rajdhani Exp but no change.,RailMinIndia
my botj srtz parents having pain in leg . I fear how could they manage in long journey.,RailMinIndia
when R u arresting wife 4 abetment of suicide? IT executive hangs self in Patel Nagar.,DelhiPolice
Extremely poor infrastructure at Kurla railway station. I hope is taking steps to address these issues faced by commuters.,RailMinIndia
Bhilwara Railway Station Glittering with Famous Phad Painting.,RailMinIndia
I called CPCandmy assessing officer abt my Refund but nobody ready is ready to tell me exact timeframe/date of it. help me plz.,IncomeTaxIndia
Sir pls check this issue.,RailMinIndia
was traveling by CST-Thane local observed power failure at kanjur station. station is almost blackout.,RailMinIndia
my flight on time from kolkata. can't reach on time if 12304 poorva exp wil be late on 17 april ;.,RailMinIndia
Cleanliness Drive at Ahmedabad station by SANT NIRAKARI CHARITY FOUNDATION.,RailMinIndia
My bro got his licence confiscated for speeding! Thank u for not taking a bribe and teaching him a real lesson. Much appreciated!,dtptraffic
Reminder No 7. Pl improve traffic condition on golwalkar marg between police line and poonthkalan due to encroachment .,dtptraffic
- Vendor named Satkar Caterers at Itarsi Railway Station is charging Rs. 40 for Sprite pet bottle having MRP Marked as Rs. 34.,RailMinIndia
heavy traffic on NH 24 indraprashta to akshardham due to vehicles parked on the rode side in evening. Please dont let them park.,dtptraffic
Hawker nuisance dadar st on and outside the main FOB.,RailMinIndia
no action has been taken on my email regarding fraudulent payment and non delivery by Interstate Cargo movers janakpuri.,DelhiPolice
I already submitted the complaint yesterday from my email profile version2.,DelhiPolice
Delhi metro is also Not Safe Criminal Minds can exist anywhere!,DelhiPolice
Indigo Cab on fire opposite Eros Hotel Nehru Place. Road closed.,dtptraffic
Very disappointed with condition of common areas and toilet; and food onboard Bhopal-Del Shatabdi today.,RailMinIndia
हिन्दू_संत_निशाने_पर ! Series of fake cases on innocent Hindu Saints! Hindus Wake Up!,RailMinIndia
Sir please try to start train from AGARTALA to New Delhi as soon as possible . Its a request sir .,RailMinIndia
Sir Can you please guide on Speed Limit all across Delhi ? 60 KM or dependent on Roads 40 50 60 accordingly.,dtptraffic
DL 8S BG 3730 tripling and 2 pillions without helmet burari main road 5 april 2016 5:03 pm.,dtptraffic
DL 7S AM 8664 no helmet burari main road 5 april 2016 rider and pillion without helmet 5:01 pm.,dtptraffic
Frauds of sarda-narda chit-fund scam must get caught soon! All officials linked must be probed!,IncomeTaxIndia
Assets belongings and properties of all government officials employees and their relatives must be checked and inquired!,IncomeTaxIndia
PNR 4118831050. At Jhansi local vendors openly selling cigarette and Gutkha in sleeper class at early morning.,RailMinIndia
Wow. Star performance by under the able leadership of Airlines knocking the doors.,RailMinIndia
PNR-8146191241 it's a medical emergency. Can we get a doctor. Senior citizen.,RailMinIndia
Commemorating India's First Train Journey.,RailMinIndia
Zilch effort made my 2 curb Human Trafficking. Providing shelter/food n educatn can bring change.,DelhiPolice
:Seen almost 10 of them plying with kids. How many challans in last 6 months share data plz.,dtptraffic
-delhi cantt st cleaning staff asking 4 money 4 allowing 2 sit in waiting hall. No st master present 2 complain.,RailMinIndia
situation at the entry on C5 12040.,RailMinIndia
huge jam at dhaula kuan. Reason unknown. Somebdy get involved please.,dtptraffic
I think this is a good idea! Anyone in India especially Traffic Police ready to follow it here?,dtptraffic
Many Non-Hindu leaders like Maulana Abdul Karim Kadri support truth because. Even They Know Bapuji Is Framed.,DelhiPolice
Gr8 Relief.,RailMinIndia
sir please do something 19215 in one FC compartment 16 other people are seating and forced me and my family to.,RailMinIndia
DL 6S AU 1229 without helmet @ Deshbandhu Gupta Road Karol Bagh on 12April 2016 @ 9. 10 am.,dtptraffic
Offence - Without Helmet Place - Uttam Nagar East Metro Station Date - 12/04/16 Time - 8. 50 am.,dtptraffic
Road choked from Shahdara flyover to Seelampur metro station.,dtptraffic
Please take suo moto action against this handle for abusing PM. He should be behind bars. Track his IP.,DelhiPolice
sir Ryan international school Sector-25 Rohini mey teenager students drive scotoorandmotorcycle action.,dtptraffic
Offence - Tinted Glass Place - Opposite Military College Delhi Cantt Date - 12/04/16 Time - 9. 37 am.,dtptraffic
Sir +919060098569 This number is fake and making fraudulent call for ATM Card number and pin codes please make awareness.,DelhiPolice
Commendable job by and by providing water in Latur through water train. They care for people indeed?,RailMinIndia
requesting yourself to depute personnel at Tahirpur-boarder Red Light Seemapuri Distt. NorthEasth.,dtptraffic
Please provide action details. Sir l hav been following up on dis fr days but no action.,dtptraffic
Daily commuter face Jam problem on a/o nonobservances of the red light and 15-20 minutes are wasted daily becz of this jam.,dtptraffic
Massive JAM occurs daily from the last one year due to nuisance at SEELAMPUR REDLIGHT. No action taken by traffic police.,dtptraffic
Heavy traffic jam at berar square.,dtptraffic
the windows front and rear has dark film.,DelhiPolice
sir writing 4m mahi pal pur hv already wrtn 100 times 2 handle but no respite cab drivers drive on d wrong side of 1/2.,dtptraffic
Tatkal tkt vanishes in barely 2secs its a serious concern forced to pay whopping 6k-7k for Hyd-Patna journey. Pls take steps.,RailMinIndia
Close call. Fire broke out in the building next to me. So impressed with and their quick action.,DelhiPolice
Huge rush and traffic jam from Narayna towards Dhaula Kuan road. Traffic moving at snail's pace. Any reason?,dtptraffic
to for water services in drought area like latur . Also appeal corporate for help.,RailMinIndia
Should buses be parked on the road considering that there is a depot next to the CGO Complex?,dtptraffic
take action against for tarnishing image of INDIA and modesty of a woman.,DelhiPolice
Pan card not processed. Pan card online requested provided valid documents as per guidelines!,IncomeTaxIndia
Misuse of official vehicles allotted to railway officers. GPS may be provided in all vehicle.,RailMinIndia
Why Rly gives facality of sitting in many trains due to vacant births in sleeper. Is it not lose of Rly Revenue.,RailMinIndia
1/3 please look in this matter they are big threat on road.,dtptraffic
urgent help please i have booked a tatkal ticket from irtc website booking tid 100000482171932 but>.,RailMinIndia
If I ve a cng fitted car with a comp cng sticker then is it neccessay to hv that red sticker?,dtptraffic
. Daily jams at pragati madan.,DelhiPolice
delhi dtc bus has stuck in preet vihar red light.,dtptraffic
When the members of pitam pura bar association and residents objects all the driver cleaners comes with lathis Rods and other.,dtptraffic
the problem has been resolved. Thanks for the immediate response. Overwhelmed by your working.,RailMinIndia
Nice app utsonmobile for unreserved ticket booking paperless . One step towards Digital India.,RailMinIndia
Great and commendable job done by your team. la ture.,RailMinIndia
"Bihar Sampark Kranti Train"""" Dhakchha Marti Hai""""resulting sleeplessness in the running train. Kindly remove inconveniences.",RailMinIndia
very big traffic on road tilak nagar to rajaori garden.,dtptraffic
its a pride to see special Train carrying relief water to drought hit areas India good initiative.,RailMinIndia
la at ur Water supply by Indian Railway First time ever in Indian History. Great Supportive Efficient.,RailMinIndia
Hefty fines should be imposed for people to fall in line with the traffic rules.,dtptraffic
My frn travln in Train no 12485 PNR 4631644401 Some ppl are consuming alcohol freely Pls take some action asap.,RailMinIndia
DL 11 SE 0103 no helmet burari main road 5 april 2016 5:01 pm.,dtptraffic
again fans r switched off at this summer on plat. At belur stn west bengal dist: hwh.,RailMinIndia
One more step for World Class Surat Railway Station Thanks a lot ji ji.,RailMinIndia
Passengers cross the line with great risk at Konnagar Railway station---- do needful plz.,RailMinIndia
Zam from naraina to dhaula kuan from last 45 minutes traffic jam Not action taken till morning 2 policemen at site only#slowwork.,dtptraffic
I am travelling right now from njo to hwh. 12042. Take action right now Sweeper Sanjay. Doest apologise also.,RailMinIndia
all the major stations should be provided with ramped over bridge for changing platform to help passengers with luggage and old.,RailMinIndia
DL8S BL7808 burari main road 5 april 2016 no helmet 5:00 pm.,dtptraffic
Actual earning of movies must be calculated for accurate taxation.,IncomeTaxIndia
parking on center of road btwn bara tooti chowk and sadar thana chowk. Compained before also but no action.,dtptraffic
today reach water waggon at latur tks.,RailMinIndia
DL 1 SV 9982 burari main road 5 april 2016 5:00pm rider and pillion without helmet.,dtptraffic
DL 8S BS0337 no helmet burari main road 5 april 2016 4:55 pm.,dtptraffic
DP approves road encroachment silently at GTB Hsptl area. No DTP has seen last 1 year. No act on mail.,DelhiPolice
my ticket not transferred by chief reservation officer of NDLS station my pnr no-2542511352 please help us.,RailMinIndia
shamefull. arrest him.,DelhiPolice
State bank of India A/C Name: Itbusinesssolution. A/NO: 35547591897 IFSC Code: SBIN0060336 kindly find out.,DelhiPolice
is not under anyone so why not he is arresting this person.,DelhiPolice
Latur great work other states CM willing to help? More trains in other draught hit areas?,RailMinIndia
Getting the confirmed railway tickets in a minute on IRCTC app. Glad to see the progress.,RailMinIndia
Can you please convey our request to the concerned authority for running a Bhuj-Ahmedabad train daily in morning?,RailMinIndia
thanks 4 being friends of street children on. street children day.,DelhiPolice
thanku very much ur initiative might be helpful for people of latur #appreciated#gov_of_india.,RailMinIndia
Hi Ma'am these FAKE hrs r looting many ppl aith authorised job sited PLS look int0 this.,DelhiPolice
plz help! these FAKE hr job on popular sited hv looted many ppl for jobs. plz help.,DelhiPolice
Big traffic jam from Gurgaon to mahipal pur.,dtptraffic
Traffic at new Lahore colony near SDM off. Geeta Colony creating Road rage people coming from wrong side deploy DTP staff.,dtptraffic
In heavy traffic during peak hours MCD truck holds up traffic on Service Road In front of Govt Sr Sec School Lajpat1.,dtptraffic
hawkers and RPF staff both roaming around.,RailMinIndia
Some riders wear helmet just for formality like a plastic hat or cap which can protect. What's rule for such riders?,dtptraffic
DL 1 SU2815 5 april 2016 no helmet burari main road 4:55 pm.,dtptraffic
DL8S BC 5984 burari main road 5 april 2016 no helmet 4:54 pm.,dtptraffic
Toilets of C1 coach of Pragati Exp are very dirty everyday and flush also doesnt work. Kindly do the needful.,RailMinIndia
Is it joke ? delhi. traffic.,dtptraffic
Yes Every Station can create a Pond of more than 1 lac liter collected from Rain Water. Charcha On RWH.,RailMinIndia
do you have any update on traffic from GURGAON toll to mahipalapur ?,dtptraffic
Thank you for this.,RailMinIndia
who is owner of stray animals? problem for traffic. Pitampura Maurya enclave.,dtptraffic
COMPLAINT OF RECOVERY STILL NOT RESPOND.,DelhiPolice
Thank you 4 meeting us Hope 2 make Delhi safe.,DelhiPolice
Train no 11447. Departure date: 11/04/16 Coach A1. Ac 2 tier. Temperature outside coach is less than inside ac.,RailMinIndia
Country needs more lion forces like you. Arti sharma SHO Maurice Nagar.,DelhiPolice
everyday Jams at badli xing near passport office. Pathetic traffic light management.,dtptraffic
My brother has missed from train no 12393samporn kranti exp up. PLZ HELP 9304622619 8434800210.,RailMinIndia
Good work by by providing water train to Latur Respect! Please let us know how we can help ?,RailMinIndia
Has the become goons to extort money from common man.,DelhiPolice
Pl see d number plate of vehicle. Spotted in mayur vihar on Sunday.,DelhiPolice
Don't even think of traveling from Gurgaon to Delhi on NH8. Huge traffic jam.,dtptraffic
hi i am currently on NH8 massive traffic jam no idea . Any update abt this jam.,dtptraffic
Travelling by nandigram exp 11402 coach B2 seat no 41 demanded bedding 3 times between nanded to parbhani yet to receive.,RailMinIndia
DL11SJ1049 wrong side and no helmet burari main rd 4:53pm 5/4/16.,dtptraffic
DL8S BL 7218 4:52 pm no helmet 5 april 2016 burari main road.,dtptraffic
Pls remove burnt car frm road near sanjay van gate aruna asaf ali marg Cn cause anthr accdnt in night.,dtptraffic
white Mahindra xylo number HR 55U 2228 driving like a killer. On ring road between Maya puri and Punjabi bagh.,dtptraffic
Pls watch! Justice For Sidd.,DelhiPolice
Outer ring road and ring road par Onroad unauthorised parking ko roke do challans and take actions.,dtptraffic
How to get away with murder. justice for sidd.,DelhiPolice
DL 7SBC 0208 burari main road 5 april 2016 no helmet 4:50 pm.,dtptraffic
DL 8S BJ 8977 burari main road 5 april 2016 no helmet 4:50 pm.,dtptraffic
DL 8S AZ 6598 burari main road 5 april 2016 no helmet 4:48 pm.,dtptraffic
DL 8S BK 2376 rider and pillion without helmet burari main road 5 april 2016 4:27 pm.,dtptraffic
DL 8S AZ 8667 burari main road 5 april 2016 no helmet 4:23 pm.,dtptraffic
heavy traffic near Moti Bagh gurudwara.,dtptraffic
massive traffic jam from Mori Gate Circle to Novelty - fatehpuri Delhi 06.,dtptraffic
the 2 ac coach is not at all in good conditions! your attention would be appreciated.,RailMinIndia
heavy traffic on maharaja agrasen bhawan road pitampuraroad no. 44 pitampura village. People not driving in lane.,dtptraffic
DL 5S BJ 3286 burari main road 5 april 2016 no helmet 4:23 pm.,dtptraffic
Reminder no 8. A gentle reminder to improve the traffic condition on guru golwalkar marg from police line to poonthkalan .,dtptraffic
4:47 pm no helmet burari main road 5 april 2016 DL 9S AR 6821.,dtptraffic
Hybrid cars are allowed during odd even or not?,dtptraffic
Good Work Railway Police Killer caught on camera.,RailMinIndia
DL 8S BW 2710 no helmet and wrong side burari main road 5 april 2016 4:44 pm.,dtptraffic
should launch compaign to follow trafiic rules and ensure 100 % compliance in case of minor /drunken driving to save innocent.,dtptraffic
and should launch education awareness to stop the increasing crimes by juvenile.,DelhiPolice
Men at work. Huge reduction of jam in CDR chowk near Chatterpur metrostation. Nice effort. and Thanking u.,dtptraffic
sir. is it possible if we can stablish bulet train factory in india only. This will help in employment as well.,RailMinIndia
61st Railway Week-2016 awards function at Gorakhpur on 12th Apr.,RailMinIndia
huge traffic grid lock at pushta near seelampur metro station under railway bridge. Plz do something immediately.,dtptraffic
why traffic personnel are not deployed at pushta on Tuesday as there always a gridlock. Waste of time n fuel.,dtptraffic
please do something as there is chaos in pushta. Situation is going out of control.,dtptraffic
absolutely disgusting to see that no traffic personnel is at pushta why so much is needed at Central delhi?,dtptraffic
it's confirmed traffic cop duty is to hid behind the tree and issue challan instead of manning traffic. Huge disappointed.,dtptraffic
Second incident that I have experienced in last one month. Thumbs down to SBC management. 5/n.,RailMinIndia
long jam Azad market from tarpan market side half an hour passed still standing pls help.,dtptraffic
Thanks to n all ppl those who r putting efforts for Latur water crisis. Really appreciated.,RailMinIndia
. this is despite traffic police presence.,dtptraffic
nw a days 12367/68 is running with WAP-7 so it Prmnt link? -1.,RailMinIndia
commendable job by for drought hit Latur any comments?,RailMinIndia
Fraudster claiming frm LIC Hd office mob 09210204952 saying Addl bonus hs been granted when I dont have any policy.,DelhiPolice
Plz convey TTE to share RAC clearance status; a humble request. Train no 22107 PNR- 8246371531.,RailMinIndia
Book the parcel and forget it this is what does to its customers. God knows when it'll get dispatched.,RailMinIndia
can u pls snd ur officer at Kalkaji bus depot red light near nathu sweet Govindpuri? I can't even count no. of traffic violations.,dtptraffic
request u2 reward your hero's who r helping by pushing a bus by themselves on yamunaabridge.,dtptraffic
the reason of daily jams at NH8 is the poor coordinations between traffic police and MCD toll collectors.,dtptraffic
sir kailash colny metro station is not fully secured material/Bag can be handed over to inside person through exit point side.,DelhiPolice
It has been a month that I have submitted the documents for a new PAN. Still PAN number not allotted. ACK:881020140591824.,IncomeTaxIndia
Sir if u an please her him ? Please his sister is missing from 5 April.,DelhiPolice
DL 8S AG 8105 rider and pillion without helmet burari main road 5 april 2016 4:43 pm.,dtptraffic
DL 8S NC 2437 5 april 2016 no helmet burari main road 4:42 pm.,dtptraffic
Take cognizance of this matter.,RailMinIndia
I got update. Even Bhavnagar Express is full of Muslim crowd. They have locked windows doora. borivali train chaos.,RailMinIndia
And all the travellers had gone to cancel their tickets. This is utter stupid dominance.,RailMinIndia
And this is the intensity of the light in train 12390 s4 34 ji.,RailMinIndia
Its been so much time but no action yet. Please update.,RailMinIndia
huge jam at andheria mod. No one addressing the issue. I have a family with me and I am stuck for last 20 mins.,dtptraffic
Traffic Lights not working in Jasola Vihar near Living Style Mall. People are facing huge problem while crossing.,dtptraffic
3/4 Odd-Even is not a solution one requires to minimise the total number of vehicles in Delhi. A fraudulence is on.,DelhiPolice
heavy rush at chatarpur signal. Please do something.,dtptraffic
Please advise why do you need at all father's name mandatorily for PAN mother's is optional for individuals.,IncomeTaxIndia
Hey please learn from this. cc:.,DelhiPolice
Y can't we have water pipeline between two parallel tracks will say lot of ROW Can start with smaller one.,RailMinIndia
pls take some strict action for this person who is abusing our honorable PM.,DelhiPolice
The condition of sleeper is too bad in train no-12322.,RailMinIndia
sir i have one more suggestion to increase passenger earnings. 1/1.,RailMinIndia
Please return my money as the train 12684 is delayed more than one and half hour today. Then talk about dynamic prices.,RailMinIndia
I have 3 reserved seats and am unable to sit on 1 also. Please do needful to as soon as possible. Awaiting reply.,RailMinIndia
Retweeted Ministry of Railways  MR interacted with the CEO of SNCF anddiscussed.,RailMinIndia
Witness Irshad joins me in Dilli Meri Jaan tdy 8-9am. Dont miss if you care! Justice For Sidd.,DelhiPolice
Dear Sir this constable is collecting ₹100 from each passenger. please do the needful.,RailMinIndia
Eye witness Irshad says tht all the juveniles in the car seemed to be drunk. Justice For Sidd.,DelhiPolice
PNR:4738726181 TRAIN:16572 train is almost 1 hr late and there are no mobile charging sockets in coach. Very old coach.,RailMinIndia
of joins me in Dilli Meri Jaan with updates on Justice For Sidd .,DelhiPolice
Income tax notices to panama papers hope this is not eye wash.,IncomeTaxIndia
when will the silchar-ghy night train be started from.,RailMinIndia
humanity shown by traffic police to a animal who got hit by car.,dtptraffic
My Brother n his wife has allotted different coach on same PNR 6551059598 very inconvenient. Can u help us?,RailMinIndia
sir kal 12-4-2016 aravali express main itne without ticket the jo ke reservation valo ko bhe andheri se nahe chadne deya.,RailMinIndia
Kindly coordinate.,DelhiPolice
Huge traffic from East Vinod Nagar towards Akshardham and Nizamuddin Bridge. Please help with it.,dtptraffic
Offence - Without Helmet Place - Near Sagar Pur Janak Puri Date - 13/4/16 Time - 9. 10 am.,dtptraffic
Quick action on Water crisis of Latur. Water Train to Latur. Thanks to You are dynamic and brave.,RailMinIndia
One suspect caught by in Rajendra Place Metro station stabbing and robbery case Delhi Metro staffer still undergoing treatment.,DelhiPolice
71 Indians Die Daily In Car Taxi Accidents; Delhi Deadliest.,DelhiPolice
my father just had shoulder surgery tried booking his ticket in tatkal all trains packed in 20 secs are these good days?,RailMinIndia
Terrible. How it is possible that all the Tatkal tickets booked in 5 sec in all the classe. Only brokers can book on their will.,RailMinIndia
Tax Tutorials on IncomeTax India website Easy to comprehend and well written! Great Initiative by.,IncomeTaxIndia
Offence - Without Helmet Place - Dhaula Kuan Date - 13/04/16 Time 9. 20 am.,dtptraffic
This is the 2nd time in 2 weeks has spread rumours amounting to inciting violence.,DelhiPolice
Happy Baisakhi to respected . Keep doing great work.,DelhiPolice
Special cell arrest Vikram Ahlawat in a murder case of 2014 reward of R50 000 was announced on his arrest.,DelhiPolice
Sir I have complete and confidential information on person avoiding income tax to the tune of Rs. 2 crores.,IncomeTaxIndia
1/2 If to pass 12424 12312 can be pre-controlled for an hour.,RailMinIndia
TSR vehicle Nos. DL1RK3646 DL1RS0778 DL1RL3133 refused to from AIIMS METRO STN TO RK PURAM on 12/04/16 at 10. 05 PM. Action req.,dtptraffic
Offence - Without Helmet Place - Janak Puri Date - 13/04/16 Time - 9. 10 am Reg no - DL 6S AF 6973.,dtptraffic
Traffic discipline is more imp than Odd Even do something to stop accidents.,DelhiPolice
Shocked to learn that mercedes hit and run accused was let off by in another accident read.,DelhiPolice
Karnal Waiting for a Railway Junction.,RailMinIndia
road rage hitn run accidents is a national shame for delhi need to act.,dtptraffic
I have done tatkal ticketing before 10:02 from last two days. How fast I suppose to?,RailMinIndia
request to provide 15CA offline utility.,IncomeTaxIndia
moti Bagh gurdwara to dhaula kuan hasba bottle neck kindly take some remedial action.,dtptraffic
Real time voting.,DelhiPolice
and in 'real time' it was army who saved kashmiris during flood not hurriyat leaders.,DelhiPolice
daily scene of Fdk railway stn at nyt. FootOverBridge needed bw platfrm 1and2.,RailMinIndia
what prosecution is does to van drivers ferrying school children in private vehicles?,dtptraffic
DL 8S BL 2213 rider and pillion without helmet burari main road 5 april 2016 4:41 pm.,dtptraffic
Is Sunday exempted from odd even rule?,dtptraffic
Sr ctzns and spcly abld ppl hv bin facing prblm due to inappropriate lvl of pltfrm and absnce of FoB at NLK Stn.,RailMinIndia
Please Help.,DelhiPolice
DL 8S BV 9474 burari main road 5 april 2016 rider and pillion without helmet 4:39 pm.,dtptraffic
DL 1 ST 8926 4:35 pm rider and pillion without helmet burari main road 5 april 2016.,dtptraffic
